"STUDY.ACCESSION","PUBMED.ID","DISEASE.TRAIT","INITIAL.SAMPLE.SIZE","MAPPED_TRAIT","NUMBER.OF.INDIVIDUALS","BROAD.ANCESTRAL.CATEGORY"
"GCST90083623",34662886,"ICD10 C85.9: Non-Hodgkin lymphoma, unspecified (Gene-based burden)","1,233 European ancestry cases, 386,688 European ancestry controls","non-Hodgkins lymphoma",387921,"European"
"GCST90083624",34662886,"ICD10 C85: Other specified and unspecified types of non-Hodgkin lymphoma (Gene-based burden)","1,579 European ancestry cases, 386,126 European ancestry controls","non-Hodgkins lymphoma",387705,"European"
"GCST90083625",34662886,"ICD10 C90.0: Multiple myeloma (Gene-based burden)","739 European ancestry cases, 387,155 European ancestry controls","multiple myeloma",387894,"European"
"GCST90083626",34662886,"ICD10 C90: Multiple myeloma and malignant plasma cell neoplasms (Gene-based burden)","772 European ancestry cases, 387,101 European ancestry controls","multiple myeloma",387873,"European"
"GCST90083627",34662886,"ICD10 C91.1: Chronic lymphocytic leukemia of B-cell type (Gene-based burden)","669 European ancestry cases, 387,257 European ancestry controls","chronic lymphocytic leukemia",387926,"European"
"GCST90083628",34662886,"ICD10 C91: Lymphoid leukemia (Gene-based burden)","878 European ancestry cases, 386,951 European ancestry controls","lymphoid leukemia",387829,"European"
"GCST90083629",34662886,"ICD10 C92: Myeloid leukemia (Gene-based burden)","572 European ancestry cases, 387,341 European ancestry controls","myeloid neoplasm",387913,"European"
"GCST90083630",34662886,"ICD10 D03: Melanoma in situ (Gene-based burden)","969 European ancestry cases, 386,791 European ancestry controls","melanoma",387760,"European"
"GCST90083631",34662886,"ICD10 D04: Carcinoma in situ of skin (Gene-based burden)","973 European ancestry cases, 386,773 European ancestry controls","skin neoplasm",387746,"European"
"GCST90083632",34662886,"ICD10 D05.1: Intraductal carcinoma in situ of breast (Gene-based burden)","1,447 European ancestry cases, 227,687 European ancestry controls","intraductal breast neoplasm",229134,"European"
"GCST90083633",34662886,"ICD10 D05.9: Unspecified type of carcinoma in situ of breast (Gene-based burden)","1,072 European ancestry cases, 228,062 European ancestry controls","breast carcinoma",229134,"European"
"GCST90083634",34662886,"ICD10 D05: Carcinoma in situ of breast (Gene-based burden)","2,611 European ancestry cases, 209,012 European ancestry controls","breast carcinoma",211623,"European"
"GCST90083635",34662886,"ICD10 D06.9: Carcinoma in situ of cervix, unspecified (Gene-based burden)","569 European ancestry cases, 228,565 European ancestry controls","cervical carcinoma",229134,"European"
"GCST90083636",34662886,"ICD10 D06: Carcinoma in situ of cervix uteri (Gene-based burden)","665 European ancestry cases, 210,614 European ancestry controls","uterine cervix carcinoma in situ",211279,"European"
"GCST90083638",34662886,"ICD10 D10: Benign neoplasm of mouth and pharynx (Gene-based burden)","554 European ancestry cases, 387,290 European ancestry controls","benign neoplasm",387844,"European"
"GCST90083639",34662886,"ICD10 D11: Benign neoplasm of major salivary glands (Gene-based burden)","567 European ancestry cases, 387,293 European ancestry controls","benign neoplasm",387860,"European"
"GCST90083640",34662886,"ICD10 D12.0: Benign neoplasm of cecum (Gene-based burden)","2,533 European ancestry cases, 385,397 European ancestry controls","benign neoplasm",387930,"European"
"GCST90083641",34662886,"ICD10 D12.2: Benign neoplasm of ascending colon (Gene-based burden)","2,707 European ancestry cases, 385,223 European ancestry controls","benign neoplasm",387930,"European"
"GCST90083642",34662886,"ICD10 D12.3: Benign neoplasm of transverse colon (Gene-based burden)","3,544 European ancestry cases, 384,386 European ancestry controls","benign neoplasm",387930,"European"
"GCST90083643",34662886,"ICD10 D12.4: Benign neoplasm of descending colon (Gene-based burden)","2,107 European ancestry cases, 385,823 European ancestry controls","benign neoplasm",387930,"European"
"GCST90083644",34662886,"ICD10 D12.5: Benign neoplasm of sigmoid colon (Gene-based burden)","6,667 European ancestry cases, 381,263 European ancestry controls","benign neoplasm",387930,"European"
"GCST90083645",34662886,"ICD10 D12.6: Benign neoplasm of colon, unspecified (Gene-based burden)","2,672 European ancestry cases, 385,258 European ancestry controls","benign neoplasm",387930,"European"
"GCST90083646",34662886,"ICD10 D12.7: Benign neoplasm of rectosigmoid junction (Gene-based burden)","515 European ancestry cases, 387,415 European ancestry controls","benign neoplasm",387930,"European"
"GCST90083647",34662886,"ICD10 D12.8: Benign neoplasm of rectum (Gene-based burden)","4,111 European ancestry cases, 383,819 European ancestry controls","benign neoplasm",387930,"European"
"GCST90083648",34662886,"ICD10 D12: Benign neoplasm of colon, rectum, anus and anal canal (Gene-based burden)","16,948 European ancestry cases, 370,732 European ancestry controls","benign neoplasm",387680,"European"
"GCST90083649",34662886,"ICD10 D13.1: Benign neoplasm of stomach (Gene-based burden)","1,028 European ancestry cases, 386,902 European ancestry controls","benign neoplasm of stomach",387930,"European"
"GCST90083650",34662886,"ICD10 D13: Benign neoplasm of other and ill-defined parts of digestive system (Gene-based burden)","1,532 European ancestry cases, 386,164 European ancestry controls","benign neoplasm",387696,"European"
"GCST90083651",34662886,"ICD10 D17.0: Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck (Gene-based burden)","1,059 European ancestry cases, 386,871 European ancestry controls","benign lipomatous neoplasm",387930,"European"
"GCST90083652",34662886,"ICD10 D17.1: Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk (Gene-based burden)","2,486 European ancestry cases, 385,444 European ancestry controls","benign lipomatous neoplasm",387930,"European"
"GCST90083653",34662886,"ICD10 D17.2: Benign lipomatous neoplasm of skin and subcutaneous tissue of limb (Gene-based burden)","1,978 European ancestry cases, 385,952 European ancestry controls","benign lipomatous neoplasm",387930,"European"
"GCST90083654",34662886,"ICD10 D17.6: Benign lipomatous neoplasm of spermatic cord (Gene-based burden)","954 European ancestry cases, 193,651 European ancestry controls","benign lipomatous neoplasm",194605,"European"
"GCST90083655",34662886,"ICD10 D17: Benign lipomatous neoplasm (Gene-based burden)","8,433 European ancestry cases, 374,536 European ancestry controls","benign lipomatous neoplasm",382969,"European"
"GCST90083656",34662886,"ICD10 D18.0: Hemangioma (Gene-based burden)","1,813 European ancestry cases, 386,087 European ancestry controls","hemangioma",387900,"European"
"GCST90083657",34662886,"ICD10 D18: Hemangioma and lymphangioma, any site (Gene-based burden)","2,097 European ancestry cases, 384,010 European ancestry controls","lymphangioma, hemangioma",386107,"European"
"GCST90083658",34662886,"ICD10 D21: Other benign neoplasms of connective and other soft tissue (Gene-based burden)","729 European ancestry cases, 386,265 European ancestry controls","benign neoplasm",386994,"European"
"GCST90083659",34662886,"ICD10 D22.3: Melanocytic nevi of other and unspecified parts of face (Gene-based burden)","1,928 European ancestry cases, 386,001 European ancestry controls","melanocytic nevus",387929,"European"
"GCST90083660",34662886,"ICD10 D22.5: Melanocytic nevi of trunk (Gene-based burden)","1,702 European ancestry cases, 386,228 European ancestry controls","melanocytic nevus",387930,"European"
"GCST90083661",34662886,"ICD10 D22.6: Melanocytic nevi of upper limb, including shoulder (Gene-based burden)","592 European ancestry cases, 387,338 European ancestry controls","melanocytic nevus",387930,"European"
"GCST90083662",34662886,"ICD10 D22.7: Melanocytic nevi of lower limb, including hip (Gene-based burden)","729 European ancestry cases, 387,201 European ancestry controls","melanocytic nevus",387930,"European"
"GCST90083663",34662886,"ICD10 D22: Melanocytic nevi (Gene-based burden)","7,622 European ancestry cases, 371,925 European ancestry controls","melanocytic nevus",379547,"European"
"GCST90083664",34662886,"ICD10 D23.1: Other benign neoplasm of skin of eyelid, including canthus (Gene-based burden)","1,342 European ancestry cases, 386,579 European ancestry controls","benign neoplasm",387921,"European"
"GCST90083665",34662886,"ICD10 D23.3: Other benign neoplasm of skin of other and unspecified parts of face (Gene-based burden)","824 European ancestry cases, 387,106 European ancestry controls","benign neoplasm",387930,"European"
"GCST90083666",34662886,"ICD10 D23.5: Other benign neoplasm of skin of trunk (Gene-based burden)","765 European ancestry cases, 387,165 European ancestry controls","benign neoplasm",387930,"European"
"GCST90083667",34662886,"ICD10 D23.6: Other benign neoplasm of skin of upper limb, including shoulder (Gene-based burden)","601 European ancestry cases, 387,329 European ancestry controls","benign neoplasm",387930,"European"
"GCST90083668",34662886,"ICD10 D23.7: Other benign neoplasm of skin of lower limb, including hip (Gene-based burden)","689 European ancestry cases, 387,241 European ancestry controls","benign neoplasm",387930,"European"
"GCST90083669",34662886,"ICD10 D23: Other benign neoplasms of skin (Gene-based burden)","7,862 European ancestry cases, 369,330 European ancestry controls","benign neoplasm",377192,"European"
"GCST90083670",34662886,"ICD10 D24: Benign neoplasm of breast (Gene-based burden)","1,779 European ancestry cases, 208,433 European ancestry controls","benign neoplasm",210212,"European"
"GCST90083676",34662886,"ICD10 D27: Benign neoplasm of ovary (Gene-based burden)","1,704 European ancestry cases, 210,162 European ancestry controls","benign neoplasm",211866,"European"
"GCST90083677",34662886,"ICD10 D29: Benign neoplasm of male genital organs (Gene-based burden)","1,184 European ancestry cases, 172,279 European ancestry controls","benign neoplasm",173463,"European"
"GCST90083678",34662886,"ICD10 D32: Benign neoplasm of meninges (Gene-based burden)","651 European ancestry cases, 387,220 European ancestry controls","benign neoplasm",387871,"European"
"GCST90083679",34662886,"ICD10 D35: Benign neoplasm of other and unspecified endocrine glands (Gene-based burden)","1,177 European ancestry cases, 386,605 European ancestry controls","benign neoplasm",387782,"European"
"GCST90083680",34662886,"ICD10 D36.1: Benign neoplasm of peripheral nerves and autonomic nervous system (Gene-based burden)","616 European ancestry cases, 387,313 European ancestry controls","benign neoplasm",387929,"European"
"GCST90083681",34662886,"ICD10 D36: Benign neoplasm of other and unspecified sites (Gene-based burden)","899 European ancestry cases, 386,761 European ancestry controls","benign neoplasm",387660,"European"
"GCST90083682",34662886,"ICD10 D37: Neoplasm of uncertain behavior of oral cavity and digestive organs (Gene-based burden)","1,467 European ancestry cases, 386,363 European ancestry controls","neoplasm",387830,"European"
"GCST90083683",34662886,"ICD10 D41.4: Neoplasm of uncertain behavior of bladder (Gene-based burden)","751 European ancestry cases, 387,179 European ancestry controls","neoplasm",387930,"European"
"GCST90083684",34662886,"ICD10 D41: Neoplasm of uncertain behavior of urinary organs (Gene-based burden)","970 European ancestry cases, 386,931 European ancestry controls","neoplasm",387901,"European"
"GCST90083685",34662886,"ICD10 D47: Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue (Gene-based burden)","987 European ancestry cases, 386,440 European ancestry controls","neoplasm",387427,"European"
"GCST90083686",34662886,"ICD10 D48: Neoplasm of uncertain behavior of other and unspecified sites (Gene-based burden)","988 European ancestry cases, 386,500 European ancestry controls","neoplasm",387488,"European"
"GCST90084042",34662886,"ICD10 I78.1: Nevus, non-neoplastic (Gene-based burden)","696 European ancestry cases, 387,219 European ancestry controls","nevus",387915,"European"
"GCST90084096",34662886,"ICD10 J33.0: Polyp of nasal cavity (Gene-based burden)","1,256 European ancestry cases, 386,674 European ancestry controls","Nasal Cavity Polyp",387930,"European"
"GCST90084097",34662886,"ICD10 J33.8: Other polyp of sinus (Gene-based burden)","740 European ancestry cases, 387,190 European ancestry controls","polyp",387930,"European"
"GCST90084098",34662886,"ICD10 J33.9: Nasal polyp, unspecified (Gene-based burden)","2,073 European ancestry cases, 385,857 European ancestry controls","Nasal Cavity Polyp",387930,"European"
"GCST90084099",34662886,"ICD10 J33: Nasal polyp (Gene-based burden)","4,168 European ancestry cases, 382,509 European ancestry controls","Nasal Cavity Polyp",386677,"European"
